Genre,Corpus,Text,Index,n_segments,n_seg_log,name,value,IQR,min,max
BIO,OANC,1471-2121-2-12,pairwise,167,5.117993812,M_Vertex,0.116697996,0.025872359,0.011920042,0.115409478
BIO,OANC,1471-2261-3-5,pairwise,127,4.844187086,M_Edge,0.015102412,0.00335011,0.001526233,0.014926671
BIO,OANC,1471-2318-3-2,global,134,4.8978398,M_Edge,0.010925221,0.001722686,0.001782266,0.008673011
BIO,OANC,1471-2318-3-2,local,134,4.8978398,M_Edge,0.021060467,0.003737719,0.002054611,0.017005488
BIO,OANC,1471-2318-3-2,pairwise,134,4.8978398,M_Vertex,0.123781998,0.025872359,0.011920042,0.115409478
BIO,OANC,1471-2318-3-2,pairwise,134,4.8978398,M_Edge,0.020106808,0.00335011,0.001526233,0.014926671
BIO,OANC,1471-2334-2-24,local,123,4.812184355,M_Vertex,0.2405462,0.041657472,0.065321619,0.231951505
BIO,OANC,1471-2350-3-9,pairwise,107,4.672828834,M_Vertex,0.117919926,0.025872359,0.011920042,0.115409478
BIO,OANC,1471-2458-2-25,local,241,5.484796933,M_Edge,0.020052076,0.003737719,0.002054611,0.017005488
BIO,OANC,1471-2458-2-25,pairwise,241,5.484796933,M_Edge,0.015128305,0.00335011,0.001526233,0.014926671
BIO,OANC,1472-6904-2-5,global,551,6.311734809,M_Vertex,0.815076053,0.078139142,0.501637517,0.814194085
BIO,OANC,cc713,global,92,4.521788577,M_Vertex,0.480905651,0.078139142,0.501637517,0.814194085
BIO,OANC,gb-2002-3-5-research0024,local,226,5.420534999,M_Vertex,0.388920592,0.041657472,0.065321619,0.231951505
BIO,OANC,gb-2002-3-5-research0024,pairwise,226,5.420534999,M_Vertex,0.164050193,0.025872359,0.011920042,0.115409478
BIO,OANC,gb-2003-4-5-r34,global,361,5.888877958,M_Vertex,0.830825709,0.078139142,0.501637517,0.814194085
BIO,OANC,gb-2003-4-5-r34,local,361,5.888877958,M_Vertex,0.267800872,0.041657472,0.065321619,0.231951505
EUA,OANC,Attorney_gives_his_time,global,27,3.295836866,M_Vertex,0.201163395,0.093103639,0.204072492,0.576487049
EUA,OANC,City_Council_Budget,local,34,3.526360525,M_Vertex,0.209260566,0.048064441,-0.006829675,0.18542809
EUA,OANC,City_Council_Budget,pairwise,34,3.526360525,M_Vertex,0.142928395,0.029257002,0.002780874,0.119808883
EUA,OANC,Helping_Hands,global,18,2.890371758,M_Edge,0.015758669,0.002658772,0.004598521,0.015233608
EUA,OANC,Helping_Hands,local,18,2.890371758,M_Edge,0.022767775,0.004649904,0.003895554,0.022495171
EUA,OANC,Justice_requests,global,12,2.48490665,M_Edge,0.016079648,0.002658772,0.004598521,0.015233608
EUA,OANC,New_funding_sources,global,38,3.63758616,M_Edge,0.015289,0.002658772,0.004598521,0.015233608
EUA,OANC,Rental_rules,global,39,3.663561646,M_Edge,0.016560238,0.002658772,0.004598521,0.015233608
EUA,OANC,Rumble_in_the_Bronx,global,29,3.36729583,M_Edge,0.015297614,0.002658772,0.004598521,0.015233608
EUA,OANC,State_funding,local,33,3.496507561,M_Edge,0.027138633,0.004649904,0.003895554,0.022495171
EUA,OANC,Working_for_Free,local,44,3.784189634,M_Edge,0.023716842,0.004649904,0.003895554,0.022495171
CIE,OANC,journal.pbio.0020001,local,83,4.418840608,M_Vertex,0.210459332,0.047377644,0.017946447,0.207457023
CIE,OANC,journal.pbio.0020019,local,65,4.17438727,M_Vertex,0.210997937,0.047377644,0.017946447,0.207457023
CIE,OANC,journal.pbio.0030051,local,53,3.970291914,M_Edge,0.018952548,0.003807754,0.003165239,0.018396254
CIE,OANC,pmed.0010022,local,39,3.663561646,M_Edge,0.018407502,0.003807754,0.003165239,0.018396254
CIE,OANC,pmed.0010048,global,23,3.135494216,M_Edge,0.013340728,0.002588109,0.002939825,0.013292263
CIE,OANC,pmed.0010061,local,41,3.713572067,M_Edge,0.018579396,0.003807754,0.003165239,0.018396254
CIE,OANC,pmed.0020047,global,24,3.17805383,M_Edge,0.013960726,0.002588109,0.002939825,0.013292263
CIE,OANC,pmed.0020074,global,18,2.890371758,M_Edge,0.014483656,0.002588109,0.002939825,0.013292263
CIE,OANC,pmed.0020082,local,9,2.197224577,M_Edge,0.001442488,0.003807754,0.003165239,0.018396254
CIE,OANC,pmed.0020085,local,16,2.772588722,M_Edge,0.002494613,0.003807754,0.003165239,0.018396254
CIE,OANC,pmed.0020090,pairwise,17,2.833213344,M_Vertex,0.146377809,0.033571847,-0.00380046,0.130486927
CIE,OANC,pmed.0020099,local,51,3.931825633,M_Edge,0.021591471,0.003807754,0.003165239,0.018396254
CIE,OANC,pmed.0020272,global,44,3.784189634,M_Edge,0.013901429,0.002588109,0.002939825,0.013292263
CIE,OANC,pmed.0020272,pairwise,44,3.784189634,M_Edge,0.019125203,0.003985838,0.001940259,0.01788361
